Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-49-4487-01A-21D-1855-08	275	0	0	0	77
TCGA-49-4488-01A-01D-1753-08	245	0	0	18	36
TCGA-49-4490-01A-21D-1855-08	0	7	0	16	17
TCGA-49-4494-01A-01D-1265-08	168	13	1	2	16
TCGA-49-4501-01A-01D-1265-08	6	15	1	9	15
TCGA-49-4505-01A-01D-1931-08	165	25	6	2	24
TCGA-49-4506-01A-01D-1265-08	82	0	0	23	11
TCGA-49-4510-01A-01D-1265-08	25	0	5	9	8
TCGA-49-4512-01A-21D-1855-08	14	13	0	0	9
TCGA-49-4514-01A-21D-1855-08	169	14	26	8	123
TCGA-49-6743-01A-11D-1855-08	424	23	7	39	282
TCGA-49-6744-01A-11D-1855-08	199	0	0	0	14
TCGA-49-6745-01A-11D-1855-08	0	19	0	20	90
TCGA-49-6761-01A-31D-1945-08	65	0	0	28	94
TCGA-49-AAQV-01A-11D-A397-08	0	0	0	17	44
TCGA-49-AAR0-01A-21D-A397-08	77	13	8	11	27
TCGA-49-AAR4-01A-12D-A410-08	427	0	19	0	127
TCGA-49-AAR9-01A-21D-A410-08	631	29	0	0	25
TCGA-49-AARE-01A-11D-A410-08	1059	3	28	81	109
TCGA-49-AARN-01A-21D-A410-08	473	0	59	0	260
TCGA-49-AARO-01A-12D-A410-08	572	0	22	0	32
TCGA-49-AARQ-01A-11D-A410-08	622	11	12	9	103
TCGA-49-AARR-01A-11D-A410-08	1	0	0	0	0
TCGA-4B-A93V-01A-11D-A397-08	105	5	7	10	16
TCGA-4N-A93T-01A-11D-A36X-10	29	51	14	1	5
TCGA-50-5044-01A-21D-1855-08	0	0	0	0	130
TCGA-50-5045-01A-01D-1625-08	268	0	0	0	18
TCGA-50-5049-01A-01D-1625-08	690	0	0	63	39
TCGA-50-5051-01A-21D-1855-08	93	13	0	0	10
TCGA-50-5055-01A-01D-1625-08	0	3	0	7	0
TCGA-50-5066-01A-01D-1625-08	233	0	0	0	39
TCGA-50-5066-02A-11D-2107-08	294	9	19	18	46
TCGA-50-5068-01A-01D-1625-08	48	16	8	8	11
TCGA-50-5072-01A-21D-1855-08	114	9	4	10	29
